dataflow,last update,freq,size_emp,nace_r2,indic_is,unit,geo,year,value,obs_flag,conf_status,dataset,feature,country
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,HR,2018,17.59,,,ecommerce_sales,ecommerce_sales__E_AESELL,Croatia
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,HR,2019,21.33,,,ecommerce_sales,ecommerce_sales__E_AESELL,Croatia
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,HR,2020,30.15,,,ecommerce_sales,ecommerce_sales__E_AESELL,Croatia
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,HR,2021,29.16,,,ecommerce_sales,ecommerce_sales__E_AESELL,Croatia
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,HR,2022,29.19,,,ecommerce_sales,ecommerce_sales__E_AESELL,Croatia
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,HR,2023,29.66,,,ecommerce_sales,ecommerce_sales__E_AESELL,Croatia
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,HR,2024,31.57,,,ecommerce_sales,ecommerce_sales__E_AESELL,Croatia
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,HR,2025,22.75,,,ecommerce_sales,ecommerce_sales__E_AESELL,Croatia
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,HU,2010,8.58,,,ecommerce_sales,ecommerce_sales__E_AESELL,Hungary
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,HU,2011,11.98,,,ecommerce_sales,ecommerce_sales__E_AESELL,Hungary
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,HU,2012,11.18,,,ecommerce_sales,ecommerce_sales__E_AESELL,Hungary
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,HU,2013,12.38,,,ecommerce_sales,ecommerce_sales__E_AESELL,Hungary
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,HU,2014,12.41,,,ecommerce_sales,ecommerce_sales__E_AESELL,Hungary
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,HU,2015,13.17,,,ecommerce_sales,ecommerce_sales__E_AESELL,Hungary
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,HU,2016,14.59,,,ecommerce_sales,ecommerce_sales__E_AESELL,Hungary
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,HU,2017,14.99,,,ecommerce_sales,ecommerce_sales__E_AESELL,Hungary
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,HU,2018,14.52,,,ecommerce_sales,ecommerce_sales__E_AESELL,Hungary
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,HU,2019,14.41,,,ecommerce_sales,ecommerce_sales__E_AESELL,Hungary
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,HU,2020,15.67,,,ecommerce_sales,ecommerce_sales__E_AESELL,Hungary
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,HU,2021,19.71,,,ecommerce_sales,ecommerce_sales__E_AESELL,Hungary
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,HU,2022,21.13,,,ecommerce_sales,ecommerce_sales__E_AESELL,Hungary
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,HU,2023,22.41,,,ecommerce_sales,ecommerce_sales__E_AESELL,Hungary
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,HU,2024,22.06,,,ecommerce_sales,ecommerce_sales__E_AESELL,Hungary
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,HU,2025,20.56,,,ecommerce_sales,ecommerce_sales__E_AESELL,Hungary
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,IE,2010,20.62,,,ecommerce_sales,ecommerce_sales__E_AESELL,Ireland
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,IE,2011,22.88,,,ecommerce_sales,ecommerce_sales__E_AESELL,Ireland
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,IE,2012,22.97,,,ecommerce_sales,ecommerce_sales__E_AESELL,Ireland
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,IE,2013,22.73,,,ecommerce_sales,ecommerce_sales__E_AESELL,Ireland
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,IE,2014,25.89,,,ecommerce_sales,ecommerce_sales__E_AESELL,Ireland
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,IE,2015,31.52,,,ecommerce_sales,ecommerce_sales__E_AESELL,Ireland
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,IE,2016,29.58,,,ecommerce_sales,ecommerce_sales__E_AESELL,Ireland
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,IE,2017,32.12,,,ecommerce_sales,ecommerce_sales__E_AESELL,Ireland
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,IE,2018,34.35,,,ecommerce_sales,ecommerce_sales__E_AESELL,Ireland
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,IE,2019,38.5,,,ecommerce_sales,ecommerce_sales__E_AESELL,Ireland
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,IE,2020,38.46,,,ecommerce_sales,ecommerce_sales__E_AESELL,Ireland
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,IE,2021,39.47,,,ecommerce_sales,ecommerce_sales__E_AESELL,Ireland
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,IE,2022,42.25,,,ecommerce_sales,ecommerce_sales__E_AESELL,Ireland
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,IE,2023,34.64,,,ecommerce_sales,ecommerce_sales__E_AESELL,Ireland
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,IE,2024,39.14,,,ecommerce_sales,ecommerce_sales__E_AESELL,Ireland
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,IE,2025,35.98,,,ecommerce_sales,ecommerce_sales__E_AESELL,Ireland
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,IS,2010,19.19,,,ecommerce_sales,ecommerce_sales__E_AESELL,IS
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,IS,2012,35.89,,,ecommerce_sales,ecommerce_sales__E_AESELL,IS
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,IS,2013,33.0,,,ecommerce_sales,ecommerce_sales__E_AESELL,IS
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,IS,2014,33.2,,,ecommerce_sales,ecommerce_sales__E_AESELL,IS
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,IS,2018,25.53,,,ecommerce_sales,ecommerce_sales__E_AESELL,IS
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,IS,2020,35.65,,,ecommerce_sales,ecommerce_sales__E_AESELL,IS
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,IT,2010,4.86,,,ecommerce_sales,ecommerce_sales__E_AESELL,Italy
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,IT,2011,5.16,,,ecommerce_sales,ecommerce_sales__E_AESELL,Italy
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,IT,2012,5.91,,,ecommerce_sales,ecommerce_sales__E_AESELL,Italy
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,IT,2013,7.27,,,ecommerce_sales,ecommerce_sales__E_AESELL,Italy
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,IT,2014,7.9,,,ecommerce_sales,ecommerce_sales__E_AESELL,Italy
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,IT,2015,9.62,,,ecommerce_sales,ecommerce_sales__E_AESELL,Italy
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,IT,2016,10.68,,,ecommerce_sales,ecommerce_sales__E_AESELL,Italy
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,IT,2017,12.14,,,ecommerce_sales,ecommerce_sales__E_AESELL,Italy
ESTAT:ISOC_EC_ESELS(1.0),27/02/26 11:00:00,A,10-249,C10-S951_X_K,E_AESELL,PC_ENT,IT,2018,13.83,,,ecommerce_sales,ecommerce_sales__E_AESELL,Italy
