geo,country,year,size_emp,target_workflow_automation,target_any_ai,security_concern_index,deployment_readiness_index,governance_maturity_proxy,E_AI_BLE,E_AI_BCST,persona_cluster
EE,Estonia,2024,10-249,2.535,13.42,15.011785714285717,,9.443333333333333,18.9275,12.805,0
EE,Estonia,2024,10-49,2.075,12.285,14.668214285714287,,8.67,17.6275,12.68,0
EE,Estonia,2024,50-249,4.925000000000001,19.39,16.781785714285714,,12.583333333333334,23.78,13.7925,2
EE,Estonia,2025,10-249,3.02,22.905,,17.94666666666667,9.433333333333332,,,2
EE,Estonia,2025,10-49,2.245,20.99,,15.948333333333332,8.333333333333334,,,2
EE,Estonia,2025,50-249,7.115,33.120000000000005,,28.588333333333328,14.13,,,2
EL,Greece,2021,10-249,0.965,2.5149999999999997,12.43392857142857,,12.223333333333334,17.405,17.802500000000002,0
EL,Greece,2021,10-49,0.705,1.98,12.783928571428572,,11.156666666666668,18.142500000000002,17.314999999999998,0
EL,Greece,2021,50-249,3.45,7.575,10.684642857142858,,16.003333333333334,13.495000000000001,21.1925,0
EL,Greece,2023,10-249,1.795,3.84,14.161785714285715,2.2466666666666666,18.05,23.075000000000003,14.1825,1
EL,Greece,2023,10-49,1.665,3.565,14.542857142857143,1.9416666666666667,17.650000000000002,23.43,14.5175,1
EL,Greece,2023,50-249,2.68,5.6850000000000005,12.121071428571428,4.306666666666666,20.043333333333333,21.2625,12.3925,0
EL,Greece,2024,10-249,3.16,9.68,11.811071428571427,,16.91833333333333,18.435,12.725000000000001,0
EL,Greece,2024,10-49,1.855,8.355,11.250357142857144,,12.913333333333336,17.8525,11.89,0
EL,Greece,2024,50-249,9.33,15.92,14.288571428571428,,26.941666666666663,21.0275,16.395,1
EL,Greece,2025,10-249,1.7,8.559999999999999,15.137142857142857,5.47,20.823333333333334,20.6975,18.25,1
EL,Greece,2025,10-49,1.35,7.38,15.054285714285713,4.391666666666667,19.673333333333336,19.95,17.99,1
EL,Greece,2025,50-249,3.625,15.195,15.685714285714283,11.535000000000002,25.44666666666667,24.515,19.682499999999997,1
ES,Spain,2021,10-249,2.64,7.085,12.317499999999999,,7.510000000000001,20.032500000000002,17.740000000000002,0
ES,Spain,2021,10-49,2.11,6.125,12.764642857142857,,6.706666666666667,20.595,18.619999999999997,0
ES,Spain,2021,50-249,6.115,13.399999999999999,11.638214285714286,,10.633333333333333,19.45,15.995,0
ES,Spain,2023,10-249,2.835,8.305,13.84,4.783333333333333,9.133333333333335,22.785,19.4025,0
ES,Spain,2023,10-49,1.9849999999999999,6.43,14.190357142857144,3.4066666666666667,7.493333333333333,22.682499999999997,20.095,0
ES,Spain,2023,50-249,7.9350000000000005,19.59,12.58357142857143,13.069999999999999,14.186666666666667,23.655,16.755,2
ES,Spain,2024,10-249,3.815,10.34,13.722142857142856,6.635000000000001,13.526666666666667,23.822499999999998,14.1125,0
ES,Spain,2024,10-49,2.88,8.600000000000001,13.478214285714285,5.133333333333334,12.471666666666666,23.514999999999997,13.897499999999999,0
ES,Spain,2024,50-249,9.3,20.585,15.418571428571429,15.486666666666666,17.40833333333333,26.365000000000002,15.75,2
ES,Spain,2025,10-249,6.05,19.225,16.589285714285715,12.176666666666668,7.0,28.049999999999997,16.1425,2
