geo,country,year,size_emp,target_workflow_automation,target_any_ai,security_concern_index,deployment_readiness_index,data_maturity_index,digital_foundation_index,market_digitization_index,ict_capability_index,ict_constraint_index,governance_maturity_proxy,persona_cluster
BG,Bulgaria,2025,50-249,5.789999999999999,13.345,13.571428571428571,25.200952380952376,43.07944444444445,26.05666666666667,26.406666666666663,,,18.681666666666665,0
CY,Cyprus,2021,10-249,0.795,2.395,13.492857142857144,41.86333333333333,,30.363333333333333,32.74133333333333,,,32.58333333333333,0
CY,Cyprus,2021,10-49,0.53,1.9649999999999999,13.041785714285714,40.803,,28.53666666666666,31.151333333333334,,,30.843333333333334,0
CY,Cyprus,2021,50-249,2.605,5.325,15.75964285714286,49.0,,42.916666666666664,42.73433333333334,,,40.055,1
CY,Cyprus,2023,10-249,1.2850000000000001,4.470000000000001,15.695357142857144,32.56809523809523,37.22222222222222,32.32666666666667,35.364333333333335,,,33.34833333333333,2
CY,Cyprus,2023,10-49,1.045,3.77,15.083928571428572,31.224761904761902,34.80222222222222,30.326666666666664,33.96066666666666,,,32.02166666666667,0
CY,Cyprus,2023,50-249,2.98,9.43,19.011785714285715,41.854285714285716,53.00666666666666,46.526666666666664,44.58533333333333,,,41.16166666666666,1
CY,Cyprus,2024,10-249,1.7349999999999999,7.335,14.986785714285714,,,37.166666666666664,36.037333333333336,20.105,22.527,18.386666666666667,2
CY,Cyprus,2024,10-49,1.41,6.324999999999999,14.887857142857142,,,35.03333333333333,34.702,17.4075,21.183,17.371666666666666,0
CY,Cyprus,2024,50-249,3.9450000000000003,14.28,16.125714285714285,,,51.843333333333334,44.792,38.645,28.147000000000002,22.313333333333333,4
CY,Cyprus,2025,10-249,2.6950000000000003,8.735,15.116071428571429,37.23452380952381,43.955000000000005,37.04666666666667,30.83666666666667,,,34.986666666666665,2
CY,Cyprus,2025,10-49,2.32,7.734999999999999,14.797500000000001,35.56285714285715,41.50666666666667,35.126666666666665,29.502777777777784,,,33.44833333333334,2
CY,Cyprus,2025,50-249,5.18,15.325,17.210714285714285,48.03690476190477,59.41111111111112,49.806666666666665,39.17055555555556,,,43.82333333333333,1
CZ,Czechia,2021,10-249,1.02,3.7,,41.71033333333334,,23.856666666666666,34.32233333333333,,,31.270000000000007,0
CZ,Czechia,2021,10-49,0.745,2.8200000000000003,,41.839,,22.16333333333333,33.96033333333334,,,30.836666666666666,0
CZ,Czechia,2021,50-249,2.2350000000000003,7.67,,41.25833333333333,,31.596666666666664,36.160333333333334,,,31.068333333333328,2
CZ,Czechia,2023,10-249,1.455,5.07,,26.450714285714287,29.833333333333332,22.86333333333333,34.52033333333334,,,21.711666666666666,0
CZ,Czechia,2023,10-49,0.9450000000000001,4.075,,25.530714285714286,28.305555555555554,20.73,34.01233333333333,,,20.253333333333334,0
CZ,Czechia,2023,50-249,3.89,9.829999999999998,,31.000476190476196,38.15833333333334,33.17666666666667,37.346333333333334,,,25.931666666666665,2
CZ,Czechia,2024,10-249,2.315,10.26,,,,34.473333333333336,35.264333333333326,15.8425,30.281,9.4,0
CZ,Czechia,2024,10-49,1.885,8.875,,,,31.720000000000002,35.132999999999996,12.569999999999999,29.839999999999996,7.510000000000001,0
CZ,Czechia,2024,50-249,4.425,17.045,,,,48.059999999999995,36.52166666666666,32.0025,32.535,15.326666666666666,4
CZ,Czechia,2025,10-249,3.415,16.38,,32.083333333333336,45.178888888888885,36.553333333333335,35.899,,,22.803333333333335,2
CZ,Czechia,2025,10-49,2.6900000000000004,13.635000000000002,,29.740952380952375,41.394444444444446,33.846666666666664,35.62133333333334,,,20.351666666666667,2
CZ,Czechia,2025,50-249,6.73,28.96,,42.46214285714286,62.26500000000001,49.12333333333333,37.81166666666666,,,31.675,1
DE,Germany,2021,10-249,3.175,9.915,,33.455999999999996,,27.606666666666666,34.174,,,18.134999999999998,0
DE,Germany,2021,10-49,2.8499999999999996,8.945,,32.15233333333333,,25.399999999999995,33.85033333333333,,,17.155,0
DE,Germany,2021,50-249,4.82,14.825,,39.881,,38.82,36.162333333333336,,,22.188333333333333,2
DE,Germany,2023,10-249,3.2350000000000003,10.77,,28.778095238095236,34.58666666666666,29.040000000000003,32.87433333333333,,,33.47,0
DE,Germany,2023,10-49,2.8049999999999997,9.7,,27.266428571428573,31.12555555555556,26.596666666666664,32.346999999999994,,,32.086666666666666,0
DE,Germany,2023,50-249,5.39,16.21,6.5475,36.27333333333333,50.74611111111111,41.519999999999996,35.817,,,26.854999999999997,1
DE,Germany,2024,10-249,4.66,18.825000000000003,,,,39.93333333333334,33.76166666666667,17.322499999999998,,8.286666666666667,2
DE,Germany,2024,10-49,3.7699999999999996,16.965000000000003,,,,37.32,33.389,13.459999999999999,,6.726666666666667,2
DE,Germany,2024,50-249,9.17,28.275,19.777142857142856,,,53.21,35.94833333333333,36.95,35.765,14.159999999999998,4
DE,Germany,2025,10-249,6.49,24.965,18.076428571428572,35.35904761904762,34.70222222222222,36.806666666666665,34.022000000000006,,,24.645000000000003,2
DE,Germany,2025,10-49,6.05,23.095,17.724285714285713,33.7495238095238,31.686666666666667,34.71333333333333,33.492666666666665,,,23.346666666666664,2
DE,Germany,2025,50-249,8.995000000000001,35.57,20.430714285714284,44.29619047619048,50.58277777777778,48.69,37.215999999999994,,,31.16,3
DK,Denmark,2021,10-249,15.725000000000001,22.615000000000002,12.0555,59.43466666666667,,40.446666666666665,41.221333333333334,,,37.074999999999996,1
DK,Denmark,2021,10-49,13.175,19.744999999999997,11.861500000000001,58.112,,38.20666666666667,40.471,,,35.85,1
DK,Denmark,2021,50-249,28.7,37.25,13.5425,66.226,,51.86333333333334,45.22,,,42.324999999999996,3
DK,Denmark,2023,10-249,6.55,14.08,,48.368095238095236,46.52888888888889,37.42666666666667,39.858000000000004,,,38.50833333333333,1
DK,Denmark,2023,10-49,5.55,12.37,,46.56380952380953,43.01444444444444,35.15,39.15533333333333,,,37.1,1
DK,Denmark,2023,50-249,11.47,22.56,,57.14952380952382,63.42666666666667,48.69,43.486666666666665,,,44.64833333333333,3
DK,Denmark,2024,10-249,10.03,26.43,16.742857142857144,,,49.46666666666666,41.06066666666667,23.875,20.895000000000003,15.735,2
DK,Denmark,2024,10-49,8.54,23.52,16.57,,,47.37,40.57266666666667,19.9425,18.869,13.061666666666667,2
DK,Denmark,2024,50-249,17.44,40.92,18.08785714285714,,,59.913333333333334,43.61933333333334,43.4575,26.943,22.134999999999998,4
DK,Denmark,2025,10-249,14.32,40.99,16.691785714285714,55.692857142857136,52.57,52.51333333333333,41.93400000000001,,,38.92333333333334,3
DK,Denmark,2025,10-49,12.27,37.45,16.241071428571427,53.13095238095239,48.47888888888889,50.830000000000005,41.67666666666666,,,36.83166666666666,3
DK,Denmark,2025,50-249,24.34,58.27,19.490357142857142,68.08,71.83222222222223,60.74666666666667,43.287333333333336,,,48.18833333333333,3
EA,Euro area,2021,10-249,2.5949999999999998,7.775,,37.126,,26.44333333333333,32.95166666666667,,,22.058333333333334,0
EA,Euro area,2021,10-49,2.165,6.775,,35.794666666666664,,24.49666666666667,32.59433333333333,,,21.181666666666665,0
EA,Euro area,2021,50-249,5.25,13.885,,45.025333333333336,,38.34666666666667,35.501,,,26.33833333333333,2
EA,Euro area,2023,10-249,2.7699999999999996,8.195,14.086428571428572,29.695714285714285,34.53166666666666,28.34,33.037,,,24.34166666666667,0
EA,Euro area,2023,10-49,2.2699999999999996,7.125,14.05642857142857,28.216904761904765,31.76,26.209999999999997,32.458000000000006,,,22.99666666666667,0
EA,Euro area,2023,50-249,5.720000000000001,14.530000000000001,14.7075,38.19190476190476,49.86777777777778,41.01,36.698,,,30.623333333333335,1
EA,Euro area,2024,10-249,3.89,13.594999999999999,15.397857142857143,,,35.550000000000004,34.141666666666666,13.977500000000001,24.363,8.516666666666666,2
EA,Euro area,2024,10-49,3.185,12.065,14.971428571428572,,,33.14666666666667,33.66266666666667,11.0875,22.83,7.173333333333333,0
EA,Euro area,2024,50-249,8.055,22.630000000000003,17.765357142857145,,,49.78333333333334,37.181,31.099999999999998,29.317,13.923333333333332,4
EA,Euro area,2025,10-249,5.050000000000001,20.4,16.277142857142856,36.46261904761905,38.74777777777778,37.21666666666667,33.97266666666666,,,27.338333333333335,2
EA,Euro area,2025,10-49,4.404999999999999,18.42,16.0625,34.54595238095238,35.977222222222224,35.166666666666664,33.358,,,25.69833333333333,2
EA,Euro area,2025,50-249,9.0,32.515,17.9275,47.855000000000004,54.91888888888889,49.81,37.99633333333334,,,35.885,3
EE,Estonia,2021,10-249,0.515,2.39,12.8875,40.641,,23.97666666666667,31.840999999999998,,,19.349999999999998,0
EE,Estonia,2021,10-49,0.2,1.83,12.846785714285712,38.827666666666666,,22.046666666666667,31.153,,,17.616666666666667,0
EE,Estonia,2021,50-249,2.165,5.34,13.123214285714285,49.8,,34.24333333333333,35.713,,,24.740000000000002,2
EE,Estonia,2023,10-249,1.09,4.79,10.809285714285716,32.45809523809524,31.47611111111111,25.769999999999996,30.79633333333333,,,23.604999999999997,0
EE,Estonia,2023,10-49,0.725,4.17,10.764642857142857,30.493809523809524,28.66444444444444,23.41666666666666,29.734999999999996,,,21.47,0
EE,Estonia,2023,50-249,3.0300000000000002,8.095,11.371071428571428,42.423095238095236,44.629999999999995,38.346666666666664,36.89066666666667,,,32.26333333333333,1
EE,Estonia,2024,10-249,2.535,13.42,15.011785714285717,,,35.54,32.85766666666667,13.5125,21.334,9.443333333333333,0
EE,Estonia,2024,10-49,2.075,12.285,14.668214285714287,,,32.72666666666667,31.563666666666666,10.7425,20.534000000000002,8.67,0
EE,Estonia,2024,50-249,4.925000000000001,19.39,16.781785714285714,,,50.53666666666667,39.762,28.242499999999996,23.986,12.583333333333334,4
EE,Estonia,2025,10-249,3.02,22.905,,39.12071428571429,53.36166666666666,36.10333333333333,32.41566666666667,,,25.796666666666667,2
EE,Estonia,2025,10-49,2.245,20.99,,36.30071428571429,51.43,33.28333333333333,31.258333333333336,,,23.81666666666667,2
EE,Estonia,2025,50-249,7.115,33.120000000000005,,53.58380952380952,63.48499999999999,51.28,38.62466666666667,,,35.25,3
EL,Greece,2021,10-249,0.965,2.5149999999999997,12.43392857142857,25.888666666666666,,17.923333333333332,34.46633333333334,,,19.10833333333333,0
EL,Greece,2021,10-49,0.705,1.98,12.783928571428572,24.678666666666665,,16.543333333333333,34.27133333333334,,,17.983333333333334,0
EL,Greece,2021,50-249,3.45,7.575,10.684642857142858,36.50366666666666,,31.02333333333333,36.7,,,25.741666666666667,0
EL,Greece,2023,10-249,1.795,3.84,14.161785714285715,18.661190476190477,31.441111111111113,19.59333333333333,34.06166666666667,,,22.091666666666665,0
EL,Greece,2023,10-49,1.665,3.565,14.542857142857143,17.546904761904763,30.307777777777783,18.15,33.732000000000006,,,21.295,0
EL,Greece,2023,50-249,2.68,5.6850000000000005,12.121071428571428,25.44404761904762,38.86388888888889,29.473333333333333,36.284666666666666,,,26.611666666666665,0
EL,Greece,2024,10-249,3.16,9.68,11.811071428571427,,,24.05666666666667,37.449,9.94,21.998,16.91833333333333,0
