geo,country,year,size_emp,nace_r2,target_workflow_automation,security_concern_index,deployment_readiness_index,data_maturity_index,digital_foundation_index,market_digitization_index,ict_constraint_index,governance_maturity_proxy,persona_cluster
PL,Poland,2024,GE10,C29_C30,6.52,12.229285714285714,,,46.43000000000001,29.961333333333336,10.446000000000002,8.728333333333333,0
PL,Poland,2024,GE10,C31-C33,2.51,13.045357142857142,,,28.846666666666664,28.601999999999997,6.148000000000001,10.66,0
PL,Poland,2024,GE10,D,3.95,12.129642857142857,,,51.14333333333334,18.576,22.572,15.819999999999999,0
PL,Poland,2024,GE10,D35,3.95,12.129642857142857,,,51.14333333333334,18.576,22.572,15.819999999999999,0
PL,Poland,2024,GE10,D_E,1.85,12.428571428571429,,,42.21333333333333,17.806666666666665,11.636999999999999,10.856666666666666,0
PL,Poland,2024,GE10,E,1.33,12.791785714285718,,,39.96333333333333,17.639999999999997,5.798,7.010000000000001,0
PL,Poland,2024,GE10,F,0.595,12.163214285714288,,,22.56,18.587333333333333,10.683,5.781666666666667,0
PL,Poland,2024,GE10,G,2.275,13.032142857142858,,,38.39333333333334,41.423666666666676,10.165000000000001,14.393333333333334,0
PL,Poland,2024,GE10,G45,2.025,11.764642857142858,,,39.656666666666666,45.49300000000001,8.347,16.745,0
PL,Poland,2024,GE10,G45-S951_X_K,3.17,12.563928571428573,,,39.126666666666665,35.62133333333333,11.110000000000001,17.135,0
PL,Poland,2024,GE10,G46,2.4800000000000004,13.525714285714287,,,43.663333333333334,42.462,14.151,11.010000000000002,0
PL,Poland,2024,GE10,G47,2.12,12.861785714285714,,,32.21333333333333,39.37733333333333,6.114999999999999,16.683333333333334,0
PL,Poland,2024,GE10,H,0.965,13.095714285714285,,,31.276666666666667,25.953333333333337,10.975,23.813333333333333,0
PL,Poland,2024,GE10,I,0.565,10.876785714285715,,,32.61333333333334,54.336666666666666,3.349,18.458333333333336,0
